timestamp,host,file_path,operation,size,hash
2026-07-30 07:00:00,ENG-PC-019,C:\Users\sophia.anderson\Documents\report_0.xlsx,Modified,635510,97314c91
2026-07-30 07:20:00,HR-PC-008,C:\Users\emily.davis\Documents\report_20.xlsx,Modified,406583,62ada157
2026-07-30 07:40:00,DC-SERVER-01,C:\Users\sarah.williams\Documents\report_40.xlsx,Modified,27367,33cd1d56
2026-07-30 08:00:00,LEGAL-PC-006,C:\Users\daniel.thomas\Documents\report_60.xlsx,Modified,727611,6b77af9e
2026-07-30 08:20:00,DC-SERVER-01,C:\Users\ava.jackson\Documents\report_80.xlsx,Modified,110976,2d6b8a4e
2026-07-30 08:40:00,SALES-PC-002,C:\Users\ava.jackson\Documents\report_100.xlsx,Modified,638950,09fe4cdd
2026-07-30 09:00:00,LEGAL-PC-006,C:\Users\daniel.thomas\Documents\report_120.xlsx,Modified,798930,1e158e2f
2026-07-30 09:20:00,HR-PC-008,C:\Users\sophia.anderson\Documents\report_140.xlsx,Modified,701423,215d3b1f
2026-07-30 09:40:00,FILE-SERVER-02,C:\Users\daniel.thomas\Documents\report_160.xlsx,Modified,877719,004ea81a
2026-07-30 10:00:00,VPN-GW-01,C:\Users\daniel.thomas\Documents\report_180.xlsx,Modified,451119,5ed10e7f
2026-07-30 10:20:00,FIN-PC-023,C:\Users\daniel.thomas\Documents\report_200.xlsx,Modified,459793,3abf9c65
2026-07-30 10:40:00,SALES-PC-002,C:\Users\james.taylor\Documents\report_220.xlsx,Modified,377544,96cbdafb
2026-07-30 11:00:00,FILE-SERVER-02,C:\Users\sarah.williams\Documents\report_240.xlsx,Modified,456157,224629cd
2026-07-30 11:20:00,IT-PC-004,C:\Users\sophia.anderson\Documents\report_260.xlsx,Modified,813061,3b85f6e1
2026-07-30 11:40:00,HR-PC-008,C:\Users\david.wilson\Documents\report_280.xlsx,Modified,637354,e073c1d0
2026-07-30 12:00:00,LEGAL-PC-006,C:\Users\james.taylor\Documents\report_300.xlsx,Modified,280328,3063ae7f
2026-07-30 12:20:00,FIN-PC-023,C:\Users\john.smith\Documents\report_320.xlsx,Modified,616063,85c53910
2026-07-30 12:40:00,HR-PC-008,C:\Users\daniel.thomas\Documents\report_340.xlsx,Modified,17543,6001f54d
2026-07-30 13:00:00,FIN-PC-011,C:\Users\olivia.moore\Documents\report_360.xlsx,Modified,438705,5cbdb682
2026-07-30 13:20:00,HR-PC-008,C:\Users\michael.brown\Documents\report_380.xlsx,Modified,456768,a6cdae3c
2026-07-30 13:40:00,FILE-SERVER-02,C:\Users\david.wilson\Documents\report_400.xlsx,Modified,283995,dadfc499
2026-07-30 14:00:00,LEGAL-PC-006,C:\Users\james.taylor\Documents\report_420.xlsx,Modified,602099,5d9ad9f1
2026-07-30 14:20:00,FILE-SERVER-02,C:\Users\david.wilson\Documents\report_440.xlsx,Modified,723666,65bf8e04
2026-07-30 14:40:00,FIN-PC-011,C:\Users\james.taylor\Documents\report_460.xlsx,Modified,588923,c8a65b85
2026-07-30 15:00:00,LEGAL-PC-006,C:\Users\sophia.anderson\Documents\report_480.xlsx,Modified,197401,5ec646eb
2026-07-30 15:20:00,LEGAL-PC-006,C:\Users\daniel.thomas\Documents\report_500.xlsx,Modified,517259,40f7924b
2026-07-30 15:40:00,IT-PC-004,C:\Users\ava.jackson\Documents\report_520.xlsx,Modified,371083,c6319c16
2026-07-30 16:00:00,VPN-GW-01,C:\Users\michael.brown\Documents\report_540.xlsx,Modified,701308,1e7c6795
2026-07-30 16:20:00,FIN-PC-011,C:\Users\sophia.anderson\Documents\report_560.xlsx,Modified,831149,b3061300
2026-07-30 16:40:00,DC-SERVER-01,C:\Users\sarah.williams\Documents\report_580.xlsx,Modified,234875,8222cd7f
2026-07-30 10:00:00,FIN-PC-023,C:\Users\john.smith\Downloads\invoice_update.docm,Created,88211,a93f23aa11cc
2026-07-30 10:08:00,FIN-PC-023,C:\Temp\payload.dll,Created,54233,9af72bc1e4a83d9f6b21c7ea45d21f00
